name,pos,tags
william holden,PN,famous
alexander knox,PN,famous
ida lupino,PN,famous
james mason,PN,famous
george mcfarland,PN,famous
anne revere,PN,famous
orson welles,PN,famous
lucille ball,PN,famous
ingrid bergman,PN,famous
robert donat,PN,famous
mildred dunnock,PN,famous
geraldine fitzgerald,PN,famous
errol flynn,PN,famous
john garfield,PN,famous
bonita granville,PN,famous
alan ladd,PN,famous
hattie mcdaniel,PN,famous
john mills,PN,famous
david niven,PN,famous
tyrone power,PN,famous
james stewart,PN,famous
gloria stuart,PN,famous
akim tamiroff,PN,famous
shirley temple,PN,famous
tom tully,PN,famous
jane wyman,PN,famous
eddie albert,PN,famous
montgomery clift,PN,famous
dorothy dandridge,PN,famous
lena horne,PN,famous
danny kaye,PN,famous
dorothy lamour,PN,famous
agnes moorehead,PN,famous
cesar romero,PN,famous
claire trevor,PN,famous
lee j. cobb,PN,famous
hume cronyn,PN,famous
peter finch,PN,famous
alec guinness,PN,famous
trevor howard,PN,famous
sam jaffe,PN,famous
ann sheridan,PN,famous
robert taylor,PN,famous
chill wills,PN,famous
jane wyatt,PN,famous
don ameche,PN,famous
red buttons,PN,famous
broderick crawford,PN,famous
olivia de havilland,PN,famous
josé ferrer,PN,famous
joan fontaine,PN,famous
burl ives,PN,famous
van johnson,PN,famous
vincent price,PN,famous
anthony quayle,PN,famous
roy rogers,PN,famous
ann rutherford,PN,famous
frank sinatra,PN,famous
cornel wilde,PN,famous
desi arnaz,PN,famous
william bendix,PN,famous
lloyd bridges,PN,famous
sonja henie,PN,famous
wendy hiller,PN,famous
edmond o'brien,PN,famous
anthony quinn,PN,famous
michael redgrave,PN,famous
gale sondergaard,PN,famous
richard todd,PN,famous
monty woolley,PN,famous
richard crenna,PN,famous
dan dailey,PN,famous
sabu,PN,famous
richard farnsworth,PN,famous
mel ferrer,PN,famous
greer garson,PN,famous
susan hayward,PN,famous
celeste holm,PN,famous
ruth hussey,PN,famous
carole landis,PN,famous
karl malden,PN,famous
donald o'connor,PN,famous
lana turner,PN,famous
jack albertson,PN,famous
judy holliday,PN,famous
lila kedrova,PN,famous
gene kelly,PN,famous
margaret leighton,PN,famous
june lockhart,PN,famous
marcello mastroianni,PN,famous
arthur o'connell,PN,famous
maureen o'hara,PN,famous
robert preston,PN,famous
joyce redman,PN,famous
gene tierney,PN,famous
richard widmark,PN,famous
art carney,PN,famous
cyd charisse,PN,famous
doris day,PN,famous
glenn ford,PN,famous
hugh griffith,PN,famous
ben johnson,PN,famous
celia johnson,PN,famous
jennifer jones,PN,famous
veronica lake,PN,famous
victor mature,PN,famous
robert stack,PN,famous
beatrice straight,PN,famous
robert walker,PN,famous
oskar werner,PN,famous
anne baxter,PN,famous
ruby dee,PN,famous
dexter gordon,PN,famous
arthur kennedy,PN,famous
deborah kerr,PN,famous
dean martin,PN,famous
terry moore,PN,famous
susan peters,PN,famous
robert ryan,PN,famous
paul scofield,PN,famous
martha scott,PN,famous
peter ustinov,PN,famous
gig young,PN,famous
ann blyth,PN,famous
yul brynner,PN,famous
john dall,PN,famous
yvonne de carlo,PN,famous
ava gardner,PN,famous
jackie gleason,PN,famous
charlton heston,PN,famous
eleanor parker,PN,famous
larry parks,PN,famous
donna reed,PN,famous
teresa wright,PN,famous
lauren bacall,PN,famous
richard basehart,PN,famous
kirk douglas,PN,famous
cloris leachman,PN,famous
robert mitchum,PN,famous
gregory peck,PN,famous
simone signoret,PN,famous
elizabeth taylor,PN,famous
esther williams,PN,famous
